time,open,high,low,close
1719344940,61913.7,61941.45,61910,61910.01
1719345000,61910,61918,61880.01,61916.99
1719345060,61916.99,61936.44,61906.19,61936.44
1719345120,61936.43,61936.44,61919.38,61919.39
1719345180,61919.39,61930,61898.21,61926.81
1719345240,61926.8,62038,61921.1,62028.01
1719345300,62028.01,62069.01,62023.13,62069.01
1719345360,62069.01,62120,62062,62078.53
1719345420,62078.53,62119.07,62076,62119.07
1719345480,62119.07,62153.38,62104.09,62152
1719345540,62152,62152,61954.07,61975.46
1719345600,61975.46,62077.28,61975.46,62075.95
1719345660,62075.94,62079.47,62001.58,62006.04
1719345720,62006.03,62060,61988.19,62044.11
1719345780,62044.11,62073.18,62031.71,62031.72
1719345840,62031.71,62040,62020.53,62040
1719345900,62040,62040,61986,62000
1719345960,62000,62026,61978,61982
1719346020,61982,62010,61981.99,62000.51
1719346080,62000.51,62020,61984,61984.01
1719346140,61984.01,61984.01,61947.55,61947.56
1719346200,61947.56,61960,61944.04,61944.05
1719346260,61944.05,61949.26,61891.13,61891.14
1719346320,61891.14,61930,61891.13,61930
1719346380,61930,61953.2,61924.01,61924.02
1719346440,61924.02,61924.02,61903.03,61914.69
1719346500,61914.69,61919.48,61901.98,61919.48
1719346560,61919.47,61936.54,61917.72,61926.97
1719346620,61926.97,61984.01,61926.96,61984.01
1719346680,61984.01,61987.2,61960,61960.01
1719346740,61960.01,61960.01,61942.01,61945.99
1719346800,61945.99,62000,61945.98,61985.02
1719346860,61985.02,62004,61985.01,61997.79
1719346920,61997.79,62038,61997.79,62020.82
1719346980,62020.81,62053.49,62020.81,62051.27
1719347040,62051.27,62051.27,62030,62030.01
1719347100,62030,62050.54,62017.95,62017.96
1719347160,62017.96,62017.96,61980,61998
1719347220,61998,61998,61980,61998
1719347280,61998,62021.58,61997.99,62006.01
1719347340,62006.01,62006.01,61981.41,61989.71
1719347400,61989.71,61998.99,61987.6,61991.51
1719347460,61991.51,61991.51,61965.86,61965.87
1719347520,61965.87,61965.87,61951.85,61959.99
1719347580,61959.99,61976,61959.98,61976
1719347640,61976,62008,61975.99,62004.8
1719347700,62004.8,62040,61984,62028.51
1719347760,62028.51,62031.88,62026.01,62026.69
1719347820,62026.69,62026.69,62010.01,62010.02
1719347880,62010.01,62021.89,62008,62008.01
1719347940,62008,62040,62008,62024.01
1719348000,62024.01,62059.99,62024,62059.99
1719348060,62059.98,62070,62042.21,62042.22
1719348120,62042.21,62054.01,62030,62054.01
1719348180,62054,62070,62054,62070
1719348240,62070,62070,62044,62044.01
1719348300,62044.01,62044.01,62004.03,62012
1719348360,62011.99,62011.99,61970.26,61985.99
1719348420,61985.99,61985.99,61950,61954
1719348480,61953.99,61970,61923.08,61923.09
1719348540,61923.09,61937.42,61923.08,61935.31
1719348600,61935.31,61938,61928.43,61931.05
1719348660,61931.05,61931.05,61910,61910.01
1719348720,61910.01,61937.99,61906.26,61933.48
1719348780,61933.48,61933.48,61910.6,61911.5
1719348840,61911.5,61911.5,61884.05,61887.62
1719348900,61887.62,61917.98,61881.34,61917.98
1719348960,61917.98,61920,61880.03,61881.01
1719349020,61881.01,61899.72,61881,61899.72
1719349080,61899.72,61911.5,61872.26,61911.5
1719349140,61911.5,61938,61911.49,61924.01
1719349200,61924,61924,61883.13,61884.71
1719349260,61884.7,61884.71,61874,61874.02
1719349320,61874.01,61880,61868.41,61869.6
1719349380,61869.59,61869.6,61865.73,61865.74
1719349440,61865.73,61877.98,61865.73,61877.98
1719349500,61877.98,61881.99,61852,61852.01
1719349560,61852,61860.72,61842.33,61860.12
